question,answer
Что такое аккредитация?,"Аккредитация - это процесс оценки и признания учебного заведения, программы обучения или организации, проводимый специализированным органом или агентством. Цель аккредитации состоит в установлении качественных стандартов и обеспечении соответствия образовательных учреждений или программ определенным критериям и нормам.  В образовательной сфере аккредитация выполняет несколько функций:  1. Оценка качества: Аккредитационные органы проводят оценку качества образовательных учреждений или программ на основе установленных стандартов. Они анализируют такие аспекты, как уровень преподавания, квалификация преподавателей, содержание программы, учебные ресурсы, степень соответствия учебных целей и результатов обучения.  2. Обеспечение стандартов: Аккредитация помогает установить и поддерживать высокие стандарты в образовательной сфере. Она способствует улучшению качества образования и обеспечению соответствия учебных программ современным требованиям и потребностям студентов и рынка труда.  3. Признание и доверие: Аккредитация служит индикатором качества образовательных учреждений или программ. Она помогает студентам, работодателям и другим заинтересованным сторонам принять информированное решение о выборе учебного заведения или программы обучения, а также дает доверие в отношении качества и признания полученного образования.  4. Поддержка улучшения: Процесс аккредитации предоставляет обратную связь и рекомендации образовательным учреждениям и программам для улучшения их работы. Он способствует развитию и совершенствованию учебных планов, методов преподавания и управления учебными заведениями.  Аккредитация может быть проведена на разных уровнях, включая национальный, региональный или международный уровни. Конкретные процедуры и критерии аккредитации могут различаться в зависимости от страны, образовательной системы и типа образовательного учреждения или программы."
Есть ли у университета лицензии и аккредитация?,"Конечно! Наш университет имеет лицензии, выданные Комитетом по обеспечению качества в сфере образования и науки Министерства образования и науки Республики Казахстан, а также аккредитация на основе Независимого агентства аккредитации и рейтинга IAAR. Подробнее с предоставленной информацией можно ознакомиться здесь: https://astanait.edu.kz/licenses/"
До какого числа проходит прием заявлений на творческий экзамен?,Прием заявлений на творческий экзамен ппроходит до 7 июля.
До какого числа проходит прием заявлений для участия в конкурсе государственных грантов?,Прием заявлений для участия в конкурсе государственных грантов проходит с 13 по 20 июля.
Когда начинает работать/открывается приемная комиссия Astana IT University?,1 июня - Открытие приемной комиссии.
До какого числа работает приемная комиссия? Когда закрывается приемная комиссия?,25 августа - Закрытие приемной комиссии.
Какие документы нужны для поступления в Astana IT University?,"Документы необходимые для поступления: Аттестат или диплом (оригинал) Приложение к аттестату или диплому (оригинал) Сертификат ЕНТ Удостоверение личности (копия) Фото 3х4 (6 шт.) При наличии, сертификат IELTS/TOEFL IBT/TOEFL ITP/APTIS/Interpress (г. Алматы, Астана и Караганда) (копия) Справка по форме 075 (оригинал) + флюорография (снимки) 063 справка - прививочная карта (копия) Приписное свидетельство - для юношей (копия) Заявление (*Нужно заранее распечатать и заполнить перед подачей документов в университет*) для поступающих на программы бакалавриата Договор в 2-ух экземплярах (Необходим только после фактического получения гранта или же фактического зачисления в университет на платной основе) Свидетельство о рождении ребенка при подписании договора об оказаний образовательных услуг родителями за ребенка, не достигшего 18-ти лет (копия) Удостоверение личности одного из родителя при подаче документов за ребенка, не достигшего 18-ти лет (копия)"
"Где кабинет 1с?, ответ:  Кабинет 1с находится на втором этаже первого блока - С.1.1.239."
Что нужно сдать чтобы поступить в АИТУ?,Вам нужно сдать ЕНТ и АЕТ.
Сколько модулей в АЕТ?,"Экзамен состоит из 2 модулей и проводится в виде тестов на компьютерах. Первый модуль - экзамен, подтверждающий владение английским языком. Второй модуль - основы компьютерных наук и логика."
"Как я буду сдавать, если у меня есть IELTS?","Надо сдать лишь второй модуль АЕТ (основы компьютерных наук и логика), если имеется сертификат IELTS выше 5.0"
Что будет если не успешно сдать АЕТ даже 2 попытки,"К сожалению, Вам могут отказать в поступлении в наш университет"
Сколько времени дают на АЕТ?,Дают по часу на каждый модуль.
Сколько дней универ делает справку с места учебы?,Обычно 2-3 рабочих дня.
Минимальные проходные баллы на грант за 2022 год?," B057 IT (SE, Comp. Science, BDA, MT, MCS) - 104 балл (квота 69) B058 Cyber Security - 69 балл B059 Smart Technology - 58 балл (квота 50) B044 ITM, ITE, DPAS - 120 балл (квота 107) B042 Digital Journalism - 122 балл (квота 120) B044 содержит в себе менеджмент"
Прошлые минимальные баллы на грант?,"Прошлые минимальные баллы на грант ➡за 2020: B057 Информационные технологии (Computer Science, Software Engineering, Big Data Analysis, Industrial Automation, Media Technologies) — 92 B058 Информационная безопасность (Cyber Security) — 89 B059 Коммуникации и коммуникационные технологии (Tel.Com.Systems) — 85; B044 Менеджмент и управление (IT Management) — 110  B042 Журналистика и репортерское дело (Digital Journalism) — 98; ➡️за 2021: B057 Информационные технологии (Computer Science, Software Engineering, Big Data Analysis, Industrial Automation, Media Technologies)  — 106 B058 Информационная безопасность (Cyber Security) — 81  B059 Коммуникации и коммуникационные технологии (Tel.Com.Systems) — 80   B044 Менеджмент и управление (IT Management) — 120  B042 Журналистика и репортерское дело (Digital Journalism) — 123 ; ➡️за 2022: B057 Информационные технологии (Computer Science, Software Engineering, Big Data Analysis, Industrial Automation, Media Technologies — 104 B058 Информационная безопасность (Cyber Security)  — 69  B059 Коммуникации и коммуникационные технологии (Smart Technologies) — 58  B044 Менеджмент и управление (IT Management, IT Entrepreneurship) — 120  B042 Журналистика и репортерское дело (Digital Journalism) — 122"
Что дает олимпиада AITU IQyn в случае выигрыша?/ что если победить олимпиаду Айкын?,Пропускаете первый модуль АЕТ.
Что такое АЕТ?,"АЕТ (AITU Excellence Test) - это вступительный экзамен Astana IT University для поступления в университет. Экзамен состоит из 2 модулей и проводится в виде тестов на компьютерах. Первый модуль - экзамен, подтверждающий владение английским языком. Второй модуль - основы компьютерных наук и логика. Подробнее на https://admission.astanait.edu.kz/aet"
2 этап IQyn оффлайн будет?,в 2023 году второй этап олимпиады IQyn был онлайн с веб-камерой.
На IQyn знания по английскому будут проверяться?,"На первом туре проверяются лексика, грамматика и навыки чтения (текст объемом до 400 слов) в формате онлайн тестирования."
"Если перевестись в другой вуз то учить те курсы которые проходил здесь, не придется проходить там снова?","Это зависит от вуза, так как у вузов разные кредиты на определенные предметы. Вам стоит обратиться в приемную комиссию АИТУ для подробной информации (по номеру 8(7172)-64-57-10)"
Сколько месяцев длится курс от айту если ты набрал меньше 35 на первом модуле АЕТ?,Это зависит от вашего уровня английского.
Можно ли пропустить АЕТ?,"Лица, имеющие следующие действующие международные сертификаты, подтверждающие владение английским языком в соответствии с общеевропейскими стандартами, освобождаются от сдачи 1-го модуля по английскому языку. • International English Language Testing System (IELTS), пороговый балл — не менее 5.0; • Test of English as a Foreign Language Institutional Testing Programm (TOEFL ITP) — не менее 460 баллов; • Test of English as a Foreign Language Internet-based Test (TOEFL IBT), пороговый балл – 46-59; • Сертификат Aptis, с результатом, соответствующим уровню B1; • Сертификаты уровня B1, выданные языковыми центрами InterPress городов Нур-Султан, Алматы и Караганда в 2021 году. • Сертификат олимпиады AITU iQyn Напоминаем, что это не освобождает вас от второго модуля АЕТ. Лица, имеющие сертификаты призёра AITU iCode, AITU Open, Жаутыковской или Евразийской олимпиалы, освобождаются от сдачи модуля по основам компьютерных наук и логики. Напоминаем, что это не освобождает вас от первого модуля АЕТ."
Какие аккредитации есть у АИТУ?,"У АИТУ всего 4 аккредитации. Вот они. Институциональная аккредитация – процесс оценивания качества организации образования аккредитационным органом на соответствие заявленному статусу и установленным стандартам аккредитационного органа. Специализированная аккредитация — оценка качества отдельных образовательных программ, реализуемых организацией образования. Национальная аккредитация — аккредитация организации образования или образовательной программы аккредитационным агентством в рамках страны. Международная аккредитация — аккредитация образовательной программы зарубежным аккредитационным агентством."
Можно ли самим составлять раписание?,"Нет, нельзя (Не доросли вы еще до таких привилегий в жизни)"
Cколько стоит проживание в общежитии?,Проживание в общежитии стоит 30000 тенге в месяц
В АИТУ 6 дневная учеба или 5 дневная?,"Как повезет с расписанием, у первашей может быть и 6 дней. У вторашей и третьяшей учеба обычно 5 дней, 1 день на военку."
Нужно ли носить ноуты постоянно?,"Почти в каждом кабинете АИТУ есть стационарные компьютеры, однако стоит носить свой ноутбук, т.к в зависимости от предмета вам предстоит работа со своими файлами, документами, учебными материалами, личными проектами, а также дополнительными програмными расширениями, виртуалбоксами и т.д."
За что студент попадает на доску позора?,"Доску убрали сразу. Администрация университета приносит извинения перед всеми учащимися нашего университета за причиненные неудобства и уверяет, что подобной ошибки больше не повторится."
В аудиториях розеток хватает?,"Да, их довольно много."
До какого месяца надо сдать АЕТ чтобы подать на конкурс грантов?,До начала приема заявлений на грант
Software engineer это что?,"Образовательная программа «Software Engineering» (Программная инженерия) включает в себя дисциплины по основам разработки программных средств и систем, которые позволяют студентам позиционировать себя как профессионалов в области разработки и сопровождения программного обеспечения различных масштабов. Ты можешь быть разработчиком программного обеспечения. Это могут быть и компьютерные игры, и программы для поддержки и модернизации интернет-сайтов, и программы, позволяющие компаниям автоматизировать свои бизнес-процессы."
Расскажите про олимпиаду внутреннего гранта?,Есть две олимпиады по которым можно выиграть ректорский грант: 1) AITU iCode 2) Республиканский конкурс научных IT проектов
У вас только предметы с программированием?,"Нет. У нас есть предметы связанные с математикой, такие как: дискретная математика, линейная алгебра, Calculus 1, Calculus 2. Также есть предметы как: Психология, социология, культурология, политология, история. Есть языковые: English, Қазақ тілі. Если есть IELTS 7.0, то вас освободят от кредитов по курсам английского и вы сможете выбрать курсы немецкого или китайского языка. В зависимости от специальности и ее учебного плана, количество предметов, связанных с программированием или другими направлениями, может меняться. Например на Media Technologies вы пройдете такие курсы, как: Кинематография и цифровой монтаж, Продюсирование, 3D анимация и т.д. Для подробного изучения данного вопроса вы можете перейти по ссылке https://astanait.edu.kz/programs/ и выбрать интересующую вас программу обучения."
Общага дается на год или на один триместр?,"В случае прохождения курса на общежитие, место дается на весь первый год обучения."
что если я второкурсник и мне нужно общежитие?,"К сожалению, количество мест в общежитии ограничено и распределяется преимущественно студентам первого курса. Однако, среди курсов выше также проводятся собрания и социальные опросы. Вы сможете подать заявку, как нуждающийся в жилье, и со временем, если место в общежитии освободится, на вашу заявку обязательно придет ответ. Я думаю, вы понимаете, что подача заявки не гарантирует вам место в общежитии, поэтому стоит задуматься о нахождении жилья для себя заранее. В этом телеграм-канале студенты АИТУ ищут себе сожителей: https://t.me/aitu_reklama"
Документы на общагу подаются вместе с заявкой на поступление или позже?,"Конкурс на общежитие проходит среди уже поступивших студентов, поэтому документы на общежитие подаются позже"
"Если не участвовала в первом этапе AITU iCode, уже никак нельзя принять участие в соревновании?","К сожалению, нельзя"
Летний триместр (летник) сколько длиться?,"По-разному, зависит от преподавателя и количество кредитов в предмете"
Что такое летник?,В случае получения оценки «неудовлетворительно» у вас появляется задолженность в виде летника - повторного курса предмета на летнем триместре
Учеба когда заканчивается?,Учеба заканчивается в июне.
"Если учась на ректорском гранте, и если будешь активистом, учиться отлично и тд, то возможно будет получать стипендию",Стипендия выдаётся только на государственном гранте
"Если закрыть сессию по предмету на 60%, но при этом все задания за триместр были сделаны на 100, как расчет идет, формула расчета?",Register midterm * 0.3 + register endterm * 0.3 + final * 0.4
"aitu icode, aitu iqyn, aet что для чего и зачем?","Aitu Icode - можете выиграть грант. Aitu iqyn - можете выиграть освобождение от первого модуля АЕТ. АЕТ - вступительный экзамен в универ, обязателен для поступления"
Когда выйдут результаты АЕТ?,Результаты выходят сразу же. Список прошедших потоков выходит спустя день-два на сайте https://admission.astanait.edu.kz/aet
Где делать документ что ты реально студент?,"Вы можете сделать документ, подтвреждающий что вы студент на сайте du.astanait.edu.kz. А также открыть студенческий билет на Kaspi в разделе Гос.услуги"
Есть пробники по АЕТ?,"К сожалению, пробников по АЕТ нет, но можно подготовиться по материалам на сайте университета"
Какие предметы нужно сдать чтоб поступить на Software Engineering Программная инженерия?,Для того чтобы поступить на специальность Software Engineering нужно сдать ЕНТ по профильным предметам информатика и математика
Какой код у Software Engineering (Программная инженерия)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06102 - код Software Engineering"
Какой код у Big Data Analysis (Анализ больших данных)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06103 - код Big Data Analysis (Анализ больших данных)"
Какой код у Computer Science (Компьютерные науки)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06101 - код Computer Science"
Какой код у Media Technologies (Медиа технологии)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06105 - код Media Technologies (Медиа технологии)"
Какой код у Mathematical & Computational Science (Математические и вычислительные науки)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06106 - код Mathematical & Computational Science (Математические и вычислительные науки)"
Какой код у Cybersecurity (Кибербезопасность)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 058 (код группы образовательных программ) – Информационная безопасность (группа образовательных программ), 6B06301 - код Cybersecurity (Кибербезопасность)"
Какой код у Smart Technologies (Умные технологии)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 059 (код группы образовательных программ) – Коммуникации и коммуникационные технологии (группа образовательных программ), 6B06202 - код Smart Technologies (Умные технологии)"
Какой код у Industrial Internet of Things (Промышленный интернет вещей)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 063 (код группы образовательных программ) - Электротехника и автоматика (группа образовательных программ), 6B07101 - код Industrial Internet of Things (Промышленный интернет вещей)"
Какой код у IT Management (IT менеджмент)?,"6В04 (код области образования) – Бизнес, управление и право (классификация области образования), 044 (код группы образовательных программ) - Менеджмент и управление (группа образовательных программ), 6B04101 - код IT Management (IT менеджмент)"
Какой код у IT Entrepreneurship (IT предпринимательство)?,"6В04 (код области образования) – Бизнес, управление и право (классификация области образования), 044 (код группы образовательных программ) - Менеджмент и управление (группа образовательных программ), 6B04102 - код IT Entrepreneurship (IT предпринимательство)"
Какой код у Digital Journalism (Цифровая журналистика)?,"6B03 (код области образования) – Социальные науки, журналистика и информация (классификация области образования), 042 (код группы образовательных программ) - Журналистика и репортерское дело, 6B03201 - код Digital Journalism (Цифровая журналистика)"
Software Engineering к какой гоп относится?,Software Engineering относится к группе образовательных программ 057 – «Информационные технологии»
computer science к какой гоп относится?,Computer Science относится к группе образовательных программ 057 – «Информационные технологии»
Какие предметы нужно сдать чтоб поступить на computer science?,Для того чтобы поступить на специальность Computer Science нужно сдать ЕНТ по профильным предметам информатика и математика
Какие предметы нужно сдать чтоб поступить на Big Data Analysis (Анализ больших данных)?,Для того чтобы поступить на специальность Big Data Analysis (Анализ больших данных) нужно сдать ЕНТ по профильным предметам информатика и математика
Какие предметы нужно сдать чтоб поступить на Media Technologies (Медиа технологии)?,Для того чтобы поступить на специальность Media Technologies (Медиа технологии) нужно сдать ЕНТ по профильным предметам информатика и математика
Какие предметы нужно сдать чтоб поступить на Mathematical & Computational Science Математические и вычислительные науки?,Для того чтобы поступить на специальность Mathematical & Computational Science (Математические и вычислительные науки) нужно сдать ЕНТ по профильным предметам информатика и математика
Какие предметы нужно сдать чтоб поступить на Cybersecurity (Кибербезопасность)?,Для того чтобы поступить на специальность Cybersecurity (Кибербезопасность) нужно сдать ЕНТ по профильным предметам информатика и математика
Какие предметы нужно сдать чтоб поступить на Smart Technologies (Умные технологии)?,Для того чтобы поступить на специальность Smart Technologies (Умные технологии) нужно сдать ЕНТ по профильным предметам физика и математика
Какие предметы нужно сдать чтоб поступить на Industrial Internet of Things (Промышленный интернет вещей)?,Для того чтобы поступить на специальность Industrial Internet of Things (Промышленный интернет вещей) нужно сдать ЕНТ по профильным предметам физика и математика
Какие предметы нужно сдать чтоб поступить на IT Management (IT менеджмент)?,Для того чтобы поступить на специальность IT Management (IT менеджмент) нужно сдать ЕНТ по профильным предметам география и математика
Какие предметы нужно сдать чтоб поступить на Digital Journalism (Цифровая журналистика)?,"Для того чтобы поступить на специальность Digital Journalism (Цифровая журналистика) нужно сдать ЕНТ по общим, базовым предметам (грамотность чтения, мат. грамотность, история Казахстана) на не менее 5 баллов и сдать два творческих экзамена"
Какие предметы нужно сдать чтоб поступить на IT Entrepreneurship (IT предпринимательство)?,Для того чтобы поступить на специальность IT Entrepreneurship (IT предпринимательство) нужно сдать ЕНТ по профильным предметам география и математика
Для поступления в AITU каким должен быть уровень английского языка?,Рекомендуется иметь как минимум уровень B1-B2 для обучения в нашем университете.
Как отработка гранта осуществляется?,Должны по своей специальности работать некоторое время
как оплатить ает?,"ИНСТРУКЦИЯ по оплате АЕТ Только для абитуриентов сдающих на базе Ustudy!! (для абитуриентов сдающих тест в г. Астана в стенах Astana IT University - бесплатно) Оплата вступительного экзамена в AITU Excellence Test через приложение Halyk в 3 шага: 1. Зайти в мобильное приложение Halyk, далее в «Платежи», в строке поиска ввести «Astana IT University». 2. Выбрать «ТОО Astana IT University - Прочие платежи» 3. Заполнить все поля: ФИО: введите ФИО участника AET ИИН: введите ИИН участника AET Номер телефона: введите номер телефона участника AET Назначение платежа: выберите «За вступительный экзамен AET» Сумма платежа: ввести сумму 1900 тенге и оплатите"
Почему Cyber security стоит отдельно от всех остальных?,"Кибербезопасность относится к ГОП «Информационная безопасность», соответственно для нее отдельное количество грантов и другой порог баллов на грант. С программой и целями можно ознакомиться здесь: https://astanait.edu.kz/cybersecurity/"
Можно ли перевестись с одной ГОП на другую ГОП не теряя гранта?,"Перевестись с одной ГОП на другую ГОП не теряя гранта не получится, т.к грант распределяется по ГОП."
У университета АИТУ есть канал?,"Есть ютуб, инстаграм, и тикток. Также после поступления у вас будут свои группы в телеграме, куда будут рассылать всю важную информацию. Чат для абитуриентов - https://t.me/+KrO4Eh0R2ZgxYmI6"
На сколько легко получить летник или лишиться стипендии?,"Это индивидуально, зависит от способностей каждого студента. Также есть фактор преподавателя и формата обучения. В целом чтобы лишиться стипендии, нужно немного постараться."
Результаты ает надо распечатывать?,"Нет, распечатывать результаты АЕТ не нужно"
Сколько стоят курсы по английскому языку?,"Цены могут поменяться, в прошлом году в месяц было 16200"
Мою заявку на fx примут если у меня за файнал ровно 50?,"Нет, fx можно сдать от 25% до 49%"
Если летник сдать на 70+ остается скидка?,"Смотря какая скидка. Если скидка по ЕНТ, то к сожалению, она пропадает после летника. А если это социальная скидка, то остается"
В каком кабинете можно распечатать документы в AITU?,Можно распечатать в кабинете AITUSA при наличии своей бумаги
Где находится AITUSA?,"2 блок 2 этаж, рядом с окном (вид на атриум, холл). Будет дверь. И вроде как написано AITUSA"
"Можно ли рассчитывать на общагу, если ты платник?",Стоит подстраховаться и присмотреть вариант съема квартиры
"Я зарегистрировался на АЕТ, мне должны будут позвонить?",Должно прийти сообщение. Но не всегда приходит. Просто приходите к назначенной дате и времени
"Допустим при поступлении у меня с другим человеком будет одинаковый бал ент и одинаковый бал атестата. Будет ли расматриваться результаты ает или айлста?, ответ: При одинаковых баллах ент и баллов аттестата будут рассматриваться результаты IELTS"
Можно ли поступить по ент в AITU без сдачи АЕT?,"АЕТ обязателен. Но можно предъявить различные сертификаты, чтобы от сдачи 1 или 2 модуля быть освобождённым. На сайте вся информация есть. https://admission.astanait.edu.kz/aet"
Университет до скольки открыт?,В будние дни к 21:00 начинает закрываться. В выходные дни до 18-19:00
Можно ли без ент поступить в айту но по ает?,"Нет, нельзя. Для поступления в АИТУ нужно обязательно сдать ЕНТ И АЕТ"
Куда я могу подать с физмат комбинацией на ЕНТ?,На Smart Technologies и Industrial Internet of Things
Сколько курсы по английскому стоят?,"Цены могут поменяться, в прошлом году плата была 35 000 тенге за весь курс"
Какие документы необходимо предоставить для поступления в магистратуру?,"Для поступления в магистратуру необходимо предоставить следующие документы:
1. Прикрепить заявление на магистратуру
2. Диплом об окончании бакалавриата (оригинал)
3. Приложение к диплому (оригинал)
4. Сертификат КТ (Казахский тест по общеобразовательным дисциплинам)
5. Удостоверение личности (копия)
6. Фотографии 3х4 (6 штук)
7. При наличии, сертификат IELTS/TOEFL IBT/TOEFL ITP/APTIS/Interpress (г. Алматы, Астана и Караганда) (копия)
8. Справка по форме 075 (оригинал)
9. Документ, подтверждающий трудовую деятельность (только для лиц, имеющих трудовой стаж)
10. Список научных и научно-методических работ (в случае их наличия)
11. Чек об оплате за обучение (при поступлении на платное отделение)."
"Какие виды скидок предоставляются магистрантам, зачисленным на 1 курс на платной основе?","Магистрантам, зачисленным на 1 курс на платной основе, предоставляются следующие виды скидок:
1. Обладателям диплома с отличием предыдущего уровня образования предоставляется скидка 30%.
2. Обладателям диплома предыдущего уровня образования с GPA (средний балл) от 3,6 и выше предоставляется скидка 20%.
3. Выпускникам Университета, поступившим в магистратуру, предоставляется скидка 30%."
Какие профильные предметы включает образовательная программа магистратуры 'Applied Data Analytics'?,"Образовательная программа 'Applied Data Analytics' включает профильные предметы: алгоритмы и структуры данных, а также базы данных"
Какие профильные предметы представлены в образовательной программе магистратуры 'Computational Sciences'?,"Образовательная программа 'Computational Sciences' включает профильные предметы: алгоритмы и структуры данных, а также базы данных"
Какие профильные предметы охватывает образовательная программа магистратуры 'Computer Science and Engineering'?,"Образовательная программа 'Computer Science and Engineering' включает профильные предметы: алгоритмы и структуры данных, а также базы данных"
